"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","90","@GET correct todo{id} in the list","api-tests","Mon Mar 17 18:23:25 GMT 2025","passed","Mon Mar 17 18:23:25 GMT 2025","API Challenges","api-tests/api-challenges.api.js","",""
"","87","Can't update a todo without mandatory title field. @PUT","api-tests","Mon Mar 17 18:23:26 GMT 2025","passed","Mon Mar 17 18:23:26 GMT 2025","API Challenges","api-tests/api-challenges.api.js","",""
"","90","Check status code 204 (No Content). @GET","api-tests","Mon Mar 17 18:23:29 GMT 2025","passed","Mon Mar 17 18:23:29 GMT 2025","API Challenges","api-tests/api-challenges.api.js","",""
"","88","Create a todo accepting only XML. @POST","api-tests","Mon Mar 17 18:23:27 GMT 2025","passed","Mon Mar 17 18:23:27 GMT 2025","API Challenges","api-tests/api-challenges.api.js","",""
"","33","Simulate DELETE method as @POST","api-tests","Mon Mar 17 18:23:29 GMT 2025","passed","Mon Mar 17 18:23:29 GMT 2025","API Challenges","api-tests/api-challenges.api.js","",""
"","95","Create a todo. @POST","api-tests","Mon Mar 17 18:23:25 GMT 2025","passed","Mon Mar 17 18:23:25 GMT 2025","API Challenges","api-tests/api-challenges.api.js","",""
"","84","Check status code 500 (internal server error). @PATCH","api-tests","Mon Mar 17 18:23:28 GMT 2025","passed","Mon Mar 17 18:23:29 GMT 2025","API Challenges","api-tests/api-challenges.api.js","",""
"","1350","@DELETE all the todos in the system","api-tests","Mon Mar 17 18:23:30 GMT 2025","passed","Mon Mar 17 18:23:31 GMT 2025","API Challenges","api-tests/api-challenges.api.js","",""
"","87","""Authentication "" User can be authenticated via correct (Basic64) credentials. @POST","api-tests","Mon Mar 17 18:23:29 GMT 2025","passed","Mon Mar 17 18:23:29 GMT 2025","API Challenges","api-tests/api-challenges.api.js","",""
"","86","""Authorization"" Can't get data when no X-AUTH-TOKEN header present. @GET","api-tests","Mon Mar 17 18:23:29 GMT 2025","passed","Mon Mar 17 18:23:29 GMT 2025","API Challenges","api-tests/api-challenges.api.js","",""
"","85","Can't create a todo with unsupported content type","api-tests","Mon Mar 17 18:23:28 GMT 2025","passed","Mon Mar 17 18:23:28 GMT 2025","API Challenges","api-tests/api-challenges.api.js","",""
"","110","@GET todos list with a query filter to get only todos which are `done`","api-tests","Mon Mar 17 18:23:27 GMT 2025","passed","Mon Mar 17 18:23:27 GMT 2025","API Challenges","api-tests/api-challenges.api.js","",""
"","90","Cannot create todo with PUT due to Auto fields id. @PUT","api-tests","Mon Mar 17 18:23:26 GMT 2025","passed","Mon Mar 17 18:23:26 GMT 2025","API Challenges","api-tests/api-challenges.api.js","",""
